Ticker,Max_Sharpe_Weight,Min_Vol_Weight
KO,0.0,0.08983293274389684
PG,0.0,0.2815890081898922
WMT,1.9966958817230062e-16,0.14122337004151342
COST,0.1830387762001686,0.00582099500578513
JNJ,1.0247716152389171e-16,3.173690240002229e-18
UNH,0.3,0.06323437507504534
ABT,0.0,0.01271501839283633
NEE,0.2024795476064534,0.17733317735325968
XOM,3.009114783731544e-17,0.059747160482975355
CVX,1.5946015790384773e-16,0.0
PFE,0.0,0.0
CMCSA,0.0,4.328679168184621e-18
PEP,0.0,0.0
LLY,0.2687512531923358,0.1314923791091873
COP,0.04573042300104327,0.02125655316980286
DIS,0.0,0.01575503043580562
