Ticker,KO,PG,WMT,COST,JNJ,UNH,ABT,NEE,XOM,CVX,PFE,CMCSA,PEP,LLY,COP,DIS
KO,0.02801698747450672,0.015598631391136868,0.010755480890033222,0.01168340578367644,0.014512774466816852,0.01518581929038231,0.011035244397868682,0.011840718702198768,0.017508085619137803,0.019888343270960285,0.010839221215685823,0.01938830088915428,0.019597851685165483,0.002330056368504339,0.017898673532616316,0.021592057019487576
PG,0.015598631391136868,0.024536593705625487,0.012251070119201984,0.012257171432066546,0.012061241831685518,0.008256368535956328,0.013030747486469263,0.010302334446645543,0.005909696805387339,0.009827499535856831,0.012776879000666513,0.01657476592514254,0.016775110071694247,0.004671692545349244,0.0023612330240285395,0.007943450473833425
WMT,0.010755480890033222,0.012251070119201984,0.03605026511571485,0.0196381680854679,0.012535578789379012,0.014547552843634754,0.008393655011510598,0.010774717112937399,0.007200799613119115,0.01015527182992828,0.009838298714081489,0.013532939667745561,0.012544097901582998,0.004037315097558102,0.002946075574416305,0.01187048271653601
COST,0.01168340578367644,0.012257171432066546,0.0196381680854679,0.04336138338880589,0.010288555867323733,0.01780842917616642,0.018104961138151437,0.016103367386773038,0.005942036336321234,0.014754081480976072,0.01887153023171289,0.019260499001984,0.016286652603425468,0.009194966824155215,0.0051664547416620825,0.022666962798632513
JNJ,0.014512774466816852,0.012061241831685518,0.012535578789379012,0.010288555867323733,0.026094886781230557,0.016307574275085494,0.01733669966877563,0.011140635367290628,0.01843375227166677,0.019238847616235566,0.021322087225189315,0.013974159541010198,0.01656293370336539,0.0197415127114995,0.016361327351668904,0.013194392397829326
UNH,0.01518581929038231,0.008256368535956328,0.014547552843634754,0.01780842917616642,0.016307574275085494,0.04240341105589016,0.015465749608560703,0.008317295133305213,0.01715260639524927,0.024424231139801793,0.022193749835481655,0.012778831132899529,0.01395930821536041,0.013370085915352475,0.022394978523626777,0.01969922935222429
ABT,0.011035244397868682,0.013030747486469263,0.008393655011510598,0.018104961138151437,0.01733669966877563,0.015465749608560703,0.04278891508982936,0.013775621446874012,0.01195008928725838,0.01712089774381159,0.02526486945037125,0.02093705942792271,0.012472124825132172,0.01910671005232713,0.013433500983589582,0.02161147871519338
NEE,0.011840718702198768,0.010302334446645543,0.010774717112937399,0.016103367386773038,0.011140635367290628,0.008317295133305213,0.013775621446874012,0.0382741486287628,-0.005807926403239547,0.0013126201589747956,0.017379703941816205,0.009793286090752546,0.011373385278355056,0.009769343253625946,-0.015065681996191595,0.005321910079666094
XOM,0.017508085619137803,0.005909696805387339,0.007200799613119115,0.005942036336321234,0.01843375227166677,0.01715260639524927,0.01195008928725838,-0.005807926403239547,0.08259251767555684,0.07136469078505164,0.011114510096242727,0.027076795750663893,0.01636084152419622,0.01308357254528858,0.09548100827985616,0.03740023354201924
CVX,0.019888343270960285,0.009827499535856831,0.01015527182992828,0.014754081480976072,0.019238847616235566,0.024424231139801793,0.01712089774381159,0.0013126201589747956,0.07136469078505164,0.08232356465114288,0.022200767546848972,0.02751112497566422,0.01984619900123608,0.013978117157171087,0.09921327020873272,0.03827052856208922
PFE,0.010839221215685823,0.012776879000666513,0.009838298714081489,0.01887153023171289,0.021322087225189315,0.022193749835481655,0.02526486945037125,0.017379703941816205,0.011114510096242727,0.022200767546848972,0.054518485456606494,0.019922471838914255,0.01601443402173714,0.017995095000262477,0.01761484625628227,0.0100042053789887
CMCSA,0.01938830088915428,0.01657476592514254,0.013532939667745561,0.019260499001984,0.013974159541010198,0.012778831132899529,0.02093705942792271,0.009793286090752546,0.027076795750663893,0.02751112497566422,0.019922471838914255,0.059916114357685485,0.018322957208803024,0.0023860560688993776,0.035164057446650354,0.0447234682664103
PEP,0.019597851685165483,0.016775110071694247,0.012544097901582998,0.016286652603425468,0.01656293370336539,0.01395930821536041,0.012472124825132172,0.011373385278355056,0.01636084152419622,0.01984619900123608,0.01601443402173714,0.018322957208803024,0.024688033153520653,0.008931817541996876,0.01502522484285397,0.01660067554072405
LLY,0.002330056368504339,0.004671692545349244,0.004037315097558102,0.009194966824155215,0.0197415127114995,0.013370085915352475,0.01910671005232713,0.009769343253625946,0.01308357254528858,0.013978117157171087,0.017995095000262477,0.0023860560688993776,0.008931817541996876,0.05791310738689272,0.015902380833400186,0.004052886594527657
COP,0.017898673532616316,0.0023612330240285395,0.002946075574416305,0.0051664547416620825,0.016361327351668904,0.022394978523626777,0.013433500983589582,-0.015065681996191595,0.09548100827985616,0.09921327020873272,0.01761484625628227,0.035164057446650354,0.01502522484285397,0.015902380833400186,0.1626083982659973,0.05600988600865255
DIS,0.021592057019487576,0.007943450473833425,0.01187048271653601,0.022666962798632513,0.013194392397829326,0.01969922935222429,0.02161147871519338,0.005321910079666094,0.03740023354201924,0.03827052856208922,0.0100042053789887,0.0447234682664103,0.01660067554072405,0.004052886594527657,0.05600988600865255,0.08647800517945523
