Ticker,KO,PG,WMT,COST,JNJ,UNH,ABT,NEE,XOM,CVX,PFE,CMCSA,PEP,LLY,COP,DIS
KO,1.0,0.5949337978658612,0.3384269060212299,0.3352024452262678,0.5367375998555026,0.44058236776222454,0.31871727265979594,0.3615884722063242,0.3639632976897554,0.4141196188297952,0.27734188986408503,0.47321359440665284,0.7451685252499184,0.057845193148502796,0.26517870337723093,0.43866245911514157
PG,0.5949337978658612,1.0,0.41191979085105673,0.37577818098265486,0.47665832335874153,0.2559655612711874,0.4021578548171895,0.33618299276596747,0.13127671839849178,0.21866224994818148,0.34933793998601137,0.4322832894314597,0.6815771100553404,0.12393063738145517,0.0373818014836456,0.17244445132413125
WMT,0.3384269060212299,0.41191979085105673,1.0,0.49670116287220484,0.40870735287609855,0.3720791334166848,0.21371315032590682,0.2900673689769115,0.1319642036865727,0.18641258878228265,0.22191869096186645,0.2911830519861153,0.4204767216101512,0.08835883483999174,0.03847850286477304,0.21259904878437008
COST,0.3352024452262678,0.37577818098265486,0.49670116287220484,1.0,0.30586173450306303,0.41531120822097833,0.4203203283580303,0.39528685005179176,0.09929180051747155,0.24694402880300423,0.3881357634957734,0.37787151033927335,0.49777951734271736,0.1834890566587129,0.06152754385840811,0.3701595305143439
JNJ,0.5367375998555026,0.47665832335874153,0.40870735287609855,0.30586173450306303,1.0,0.49024284036248694,0.5188276103180266,0.3525165263986091,0.39706872912405056,0.41508712483376997,0.5653014715142655,0.35340783072272497,0.6525537790521422,0.507825243382988,0.25117091027150396,0.2777530622525587
UNH,0.44058236776222454,0.2559655612711874,0.3720791334166848,0.41531120822097833,0.49024284036248694,1.0,0.3630821848244322,0.2064566831748371,0.2898407016894632,0.4133885283341235,0.46159213276117506,0.25352390386558743,0.4314398471879232,0.26980212568594397,0.26969864677870753,0.3253089471668542
ABT,0.31871727265979594,0.4021578548171895,0.21371315032590682,0.4203203283580303,0.5188276103180266,0.3630821848244322,1.0,0.3404025406277484,0.20101809833440656,0.28846877626518197,0.5230937483599524,0.41350258386920524,0.3837351349826049,0.3838237476493785,0.16104679559682744,0.35527611770427053
NEE,0.3615884722063242,0.33618299276596747,0.2900673689769115,0.39528685005179176,0.3525165263986091,0.2064566831748371,0.3404025406277484,1.0,-0.10329944363881377,0.02338429152548156,0.38046763020559476,0.20450496281745498,0.3699931944349295,0.20750289758391066,-0.19096973291650937,0.0925043021748924
XOM,0.3639632976897554,0.13127671839849178,0.1319642036865727,0.09929180051747155,0.39706872912405056,0.2898407016894632,0.20101809833440656,-0.10329944363881377,1.0,0.8654678753153006,0.16563346260344208,0.38490636774879083,0.36231977628342943,0.1891766629446511,0.8239012430057105,0.4425385720040969
CVX,0.4141196188297952,0.21866224994818148,0.18641258878228265,0.24694402880300423,0.41508712483376997,0.4133885283341235,0.28846877626518197,0.02338429152548156,0.8654678753153006,1.0,0.33138589145844133,0.3917188272379448,0.4402222733029553,0.20244085295601874,0.857504080214278,0.4535754553317574
PFE,0.27734188986408503,0.34933793998601137,0.22191869096186645,0.3881357634957734,0.5653014715142655,0.46159213276117506,0.5230937483599524,0.38046763020559476,0.16563346260344208,0.33138589145844133,1.0,0.34857762766032147,0.4365122714727488,0.32025345109897646,0.18708349723860845,0.14569943785209982
CMCSA,0.47321359440665284,0.4322832894314597,0.2911830519861153,0.37787151033927335,0.35340783072272497,0.25352390386558743,0.41350258386920524,0.20450496281745498,0.38490636774879083,0.3917188272379448,0.34857762766032147,1.0,0.4764095963102529,0.040506096238137265,0.35625065738145323,0.6213135474849261
PEP,0.7451685252499184,0.6815771100553404,0.4204767216101512,0.49777951734271736,0.6525537790521422,0.4314398471879232,0.3837351349826049,0.3699931944349295,0.36231977628342943,0.4402222733029553,0.4365122714727488,0.4764095963102529,1.0,0.23621537544973828,0.23714078203397845,0.35927722191055816
LLY,0.057845193148502796,0.12393063738145517,0.08835883483999174,0.1834890566587129,0.507825243382988,0.26980212568594397,0.3838237476493785,0.20750289758391066,0.1891766629446511,0.20244085295601874,0.32025345109897646,0.040506096238137265,0.23621537544973828,1.0,0.16387104749728096,0.05726947293207426
COP,0.26517870337723093,0.0373818014836456,0.03847850286477304,0.06152754385840811,0.25117091027150396,0.26969864677870753,0.16104679559682744,-0.19096973291650937,0.8239012430057105,0.857504080214278,0.18708349723860845,0.35625065738145323,0.23714078203397845,0.16387104749728096,1.0,0.4723243888679395
DIS,0.43866245911514157,0.17244445132413125,0.21259904878437008,0.3701595305143439,0.2777530622525587,0.3253089471668542,0.35527611770427053,0.0925043021748924,0.4425385720040969,0.4535754553317574,0.14569943785209982,0.6213135474849261,0.35927722191055816,0.05726947293207426,0.4723243888679395,1.0
